dataset,accuracy,adjusted_rand_index,normalized_mutual_info_score
load_breast_cancer,0.9415204678362573,0.7776024359681648,0.6807062290153328
load_iris,0.9111111111111111,0.7359927170404701,0.7594390741398845
load_wine,0.8333333333333334,0.6360839457488748,0.6952917306308503
load_digits,0.2351851851851852,0.07011772373774355,0.26514923102307314
